epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.4741,1.55343,3.45924,1.50284,0.00952,1,0.56985,0.34813,1.17749,3.21561,1.17072,0.00013336,0.00013336,0.00013336
2,110.569,1.42458,2.73445,1.34696,0.00836,1,0.82551,0.50294,1.11189,3.02447,1.18419,0.000280584,0.000280584,0.000280584
3,158.297,1.32495,2.15656,1.30931,0.00827,1,0.72826,0.40817,1.21478,2.82634,1.24455,0.000424838,0.000424838,0.000424838
4,205.082,1.27562,1.82914,1.31603,0.87819,0.1954,0.61647,0.35549,1.28991,2.79314,1.30849,0.000566122,0.000566122,0.000566122
5,252.761,1.36761,1.97097,1.40132,0.75598,0.45946,0.59784,0.30033,1.50711,2.6129,1.48206,0.000704434,0.000704434,0.000704434
6,301.013,1.44913,1.85823,1.40682,1,0.25004,0.67668,0.34453,1.54727,2.69444,1.50783,0.000839776,0.000839776,0.000839776
7,351.05,1.25173,1.82909,1.29952,0.75357,0.37838,0.55695,0.28264,1.52307,2.57674,1.60553,0.000972148,0.000972148,0.000972148
8,403.428,1.23887,1.76056,1.32716,0.5875,0.50062,0.53402,0.21662,1.60736,2.41017,1.84689,0.00110155,0.00110155,0.00110155
9,451.99,1.42456,1.85013,1.40664,0.91401,0.57476,0.79426,0.36426,1.74439,2.42559,1.81412,0.00122798,0.00122798,0.00122798
10,500.109,1.35971,1.76148,1.35783,0.47317,0.21622,0.31573,0.15285,1.92858,2.99638,2.12458,0.00135144,0.00135144,0.00135144
11,548.903,1.3649,1.56059,1.35299,0.51752,0.35135,0.28884,0.11245,2.22099,3.20398,2.2765,0.00147193,0.00147193,0.00147193
12,597.535,1.27279,1.62559,1.32439,0.0968,0.32432,0.06026,0.0203,2.19362,4.13059,2.52933,0.00148546,0.00148546,0.00148546
13,645.353,1.33574,1.60437,1.3675,0.19905,0.40541,0.20364,0.0816,2.10476,2.976,2.3226,0.00146896,0.00146896,0.00146896
14,692.45,1.31128,1.65821,1.34897,0.37645,0.40798,0.32627,0.16378,1.97565,2.67882,1.7999,0.00145246,0.00145246,0.00145246
15,740.049,1.22732,1.44079,1.27418,0.75967,0.51263,0.62737,0.29964,1.81194,2.0113,1.73799,0.00143595,0.00143595,0.00143595
16,787.686,1.29591,1.51244,1.31852,0.70103,0.63394,0.70176,0.32264,1.69445,2.25428,1.79971,0.00141945,0.00141945,0.00141945
17,835.243,1.23936,1.39287,1.26726,0.74804,0.56185,0.67306,0.30454,1.75831,2.32334,1.7745,0.00140295,0.00140295,0.00140295
18,883.592,1.23188,1.31772,1.28032,0.81139,0.72973,0.81211,0.45593,1.46353,1.6854,1.54096,0.00138644,0.00138644,0.00138644
19,933.754,1.27496,1.36418,1.3276,0.54604,0.72973,0.6991,0.3921,1.48608,2.04049,1.60034,0.00136994,0.00136994,0.00136994
20,982.47,1.34756,1.33191,1.34797,0.77615,0.7027,0.71453,0.40713,1.49272,2.23402,1.6335,0.00135344,0.00135344,0.00135344
21,1031.55,1.25419,1.33771,1.29356,0.55392,0.7027,0.68851,0.38635,1.51618,2.23785,1.63433,0.00133693,0.00133693,0.00133693
22,1080.65,1.29914,1.32839,1.28633,0.78101,0.72973,0.82739,0.47835,1.42478,1.89272,1.48997,0.00132043,0.00132043,0.00132043
