epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
23,1129.54,1.21462,1.26298,1.30355,0.68336,0.78378,0.79677,0.48802,1.37273,1.50299,1.46776,0.00130393,0.00130393,0.00130393
24,1178.65,1.1892,1.23036,1.22806,0.814,0.70983,0.79949,0.47358,1.35628,1.37015,1.39426,0.00128742,0.00128742,0.00128742
25,1227.32,1.12074,1.12861,1.21778,0.76752,0.7027,0.8248,0.48041,1.3458,1.34325,1.41291,0.00127092,0.00127092,0.00127092
26,1276.28,1.17148,1.09292,1.26649,0.47652,0.61517,0.4341,0.16741,2.07446,2.51089,2.00507,0.00125442,0.00125442,0.00125442
27,1324.79,1.19718,1.17033,1.26034,0.87792,0.58335,0.74725,0.40871,1.59673,1.48295,1.52648,0.00123791,0.00123791,0.00123791
28,1374.3,1.14166,1.13644,1.19998,0.74206,0.85544,0.8432,0.50331,1.4257,1.24402,1.35511,0.00122141,0.00122141,0.00122141
29,1424.79,1.13799,1.0792,1.20332,0.8239,0.78378,0.85018,0.54849,1.21574,1.18909,1.28735,0.00120491,0.00120491,0.00120491
30,1474.36,1.1074,1.04803,1.19004,0.75583,0.66944,0.70939,0.44112,1.35447,1.45565,1.35725,0.0011884,0.0011884,0.0011884
31,1523.47,1.06014,1.05273,1.17757,0.8092,0.68794,0.77631,0.49212,1.3878,1.32837,1.4104,0.0011719,0.0011719,0.0011719
32,1572.32,1.0905,0.98986,1.1787,0.86497,0.7027,0.80044,0.49322,1.39312,1.23425,1.43962,0.0011554,0.0011554,0.0011554
33,1621.94,1.08668,1.01682,1.17091,0.76241,0.78378,0.77703,0.43414,1.52039,1.20683,1.56703,0.00113889,0.00113889,0.00113889
34,1669.95,1.07677,1.00663,1.18065,0.85561,0.64865,0.77677,0.4616,1.46103,1.15938,1.50966,0.00112239,0.00112239,0.00112239
35,1718.68,1.09502,1.01514,1.19408,0.85112,0.62162,0.76097,0.4298,1.46658,1.36173,1.51357,0.00110589,0.00110589,0.00110589
36,1766.81,0.98549,0.92181,1.12711,0.86737,0.75676,0.78482,0.42306,1.55999,1.37497,1.61399,0.00108938,0.00108938,0.00108938
37,1816.61,1.01766,0.93887,1.1684,0.93488,0.77614,0.84502,0.45701,1.49495,1.235,1.56111,0.00107288,0.00107288,0.00107288
38,1865.36,0.99165,0.90932,1.14469,0.93125,0.75676,0.84998,0.53342,1.19222,1.02926,1.32369,0.00105638,0.00105638,0.00105638
39,1915.22,1.11007,0.94918,1.22532,0.86281,0.68005,0.80411,0.49869,1.30442,1.18707,1.33579,0.00103987,0.00103987,0.00103987
40,1964.27,0.95427,0.88223,1.09192,0.894,0.78378,0.8848,0.56866,1.20141,1.01051,1.24121,0.00102337,0.00102337,0.00102337
41,2014.58,1.07097,1.00666,1.17667,0.87378,0.7486,0.83261,0.55607,1.17342,1.03534,1.26374,0.00100687,0.00100687,0.00100687
42,2066.47,0.98277,0.8628,1.12633,0.92202,0.7027,0.81687,0.49353,1.27613,1.20501,1.36525,0.000990365,0.000990365,0.000990365
43,2116,0.95099,0.82424,1.10426,0.83662,0.64865,0.76679,0.47644,1.29779,1.25121,1.35103,0.000973861,0.000973861,0.000973861
44,2165.27,0.98169,0.93009,1.14102,0.73291,0.51931,0.61759,0.37475,1.49031,1.53121,1.56329,0.000957358,0.000957358,0.000957358
45,2214.64,0.98309,0.84601,1.14581,0.81437,0.71159,0.81737,0.4964,1.32963,1.12244,1.41955,0.000940855,0.000940855,0.000940855
46,2263.66,0.98925,0.86018,1.12592,0.90844,0.80457,0.85764,0.55466,1.31617,1.04951,1.41519,0.000924352,0.000924352,0.000924352
47,2313.76,1.0278,0.86138,1.15152,0.95001,0.72973,0.82466,0.54111,1.29526,1.1233,1.38902,0.000907848,0.000907848,0.000907848
48,2363.35,0.93652,0.86738,1.10893,0.95773,0.67568,0.73565,0.46476,1.35144,1.25332,1.46332,0.000891345,0.000891345,0.000891345
49,2413.08,0.93965,0.83638,1.10304,0.91153,0.67568,0.74551,0.48121,1.30909,1.18075,1.43379,0.000874842,0.000874842,0.000874842
50,2463.1,0.88161,0.81633,1.09083,0.87371,0.75676,0.79016,0.47538,1.27657,1.22121,1.4016,0.000858338,0.000858338,0.000858338
51,2513.09,0.91913,0.72522,1.07182,0.92876,0.75676,0.83381,0.52918,1.23787,1.11935,1.36073,0.000841835,0.000841835,0.000841835
52,2562.45,0.88923,0.72803,1.0886,0.92401,0.75676,0.82234,0.50867,1.23251,1.1549,1.34764,0.000825332,0.000825332,0.000825332
53,2611.9,0.92171,0.73418,1.10036,0.95623,0.75676,0.80676,0.51673,1.17521,1.17293,1.28815,0.000808828,0.000808828,0.000808828
54,2661.92,0.89863,0.71902,1.10146,0.89151,0.75676,0.78599,0.50827,1.18522,1.15995,1.30557,0.000792325,0.000792325,0.000792325
55,2711.19,0.84269,0.69403,1.0546,0.93074,0.72653,0.78459,0.49233,1.23616,1.16594,1.34028,0.000775822,0.000775822,0.000775822
56,2759.64,0.86675,0.72677,1.06978,0.904,0.72973,0.78324,0.48401,1.30624,1.20235,1.41312,0.000759318,0.000759318,0.000759318
57,2809.8,0.88642,0.73548,1.0895,0.94576,0.7027,0.80927,0.49648,1.29387,1.12102,1.43549,0.000742815,0.000742815,0.000742815
58,2859.45,0.8363,0.6761,1.05322,0.96462,0.75676,0.86087,0.53569,1.28211,1.02032,1.37322,0.000726312,0.000726312,0.000726312
59,2908.99,0.79294,0.65063,1.03185,0.90559,0.7779,0.8292,0.5047,1.3719,1.09352,1.45165,0.000709809,0.000709809,0.000709809
60,2960.14,0.83388,0.68385,1.0453,0.91769,0.72973,0.77957,0.47151,1.43682,1.239,1.52596,0.000693305,0.000693305,0.000693305
61,3010.29,0.85325,0.69016,1.08338,0.9654,0.75419,0.79319,0.47394,1.48217,1.16601,1.59979,0.000676802,0.000676802,0.000676802
62,3059.7,0.85561,0.68283,1.06358,0.96547,0.75567,0.82412,0.50089,1.43513,1.06098,1.50831,0.000660299,0.000660299,0.000660299
63,3109.72,0.80378,0.66179,1.04235,0.9852,0.72973,0.83295,0.51472,1.35292,1.07434,1.43973,0.000643795,0.000643795,0.000643795
64,3159.91,0.81174,0.65703,1.03949,0.98612,0.72973,0.80482,0.49645,1.34648,1.08488,1.43569,0.000627292,0.000627292,0.000627292
65,3210.36,0.75197,0.629,1.0198,0.96538,0.75365,0.80421,0.50728,1.3476,1.14614,1.4643,0.000610789,0.000610789,0.000610789
66,3260.32,0.74555,0.6592,1.02905,1,0.7294,0.82012,0.51359,1.31257,1.05091,1.4449,0.000594286,0.000594286,0.000594286
67,3310.6,0.79085,0.63282,1.03664,0.99371,0.7027,0.83998,0.53065,1.32912,1.02463,1.43041,0.000577782,0.000577782,0.000577782
68,3361.5,0.80631,0.67032,1.04192,0.93086,0.72777,0.82779,0.52812,1.30027,1.03352,1.36863,0.000561279,0.000561279,0.000561279
69,3411.22,0.76279,0.58431,1.02433,0.93082,0.72741,0.82206,0.51926,1.30835,1.10243,1.39998,0.000544776,0.000544776,0.000544776
70,3462.64,0.76016,0.64658,1.0278,0.93089,0.7281,0.842,0.52908,1.31406,1.02997,1.43328,0.000528272,0.000528272,0.000528272
71,3513.11,0.73093,0.56954,1.0218,0.89612,0.78378,0.84797,0.53346,1.29207,0.98288,1.4096,0.000511769,0.000511769,0.000511769
72,3564.1,0.73641,0.58847,1.02473,0.88881,0.75676,0.82201,0.51171,1.31214,1.04275,1.40641,0.000495266,0.000495266,0.000495266
73,3614.83,0.688,0.56191,0.99955,0.92852,0.7022,0.78479,0.49999,1.29919,1.09517,1.4118,0.000478762,0.000478762,0.000478762
74,3665.28,0.69428,0.56483,0.97868,0.93094,0.7287,0.76982,0.49268,1.35628,1.2046,1.43601,0.000462259,0.000462259,0.000462259
75,3715.92,0.71643,0.58273,1.01298,0.92177,0.72973,0.76306,0.49001,1.37821,1.20788,1.42823,0.000445756,0.000445756,0.000445756
76,3766.21,0.75671,0.58634,1.01611,0.93091,0.72833,0.77381,0.46636,1.44035,1.17605,1.49787,0.000429253,0.000429253,0.000429253
77,3817.33,0.72217,0.56725,1.0273,0.87357,0.74714,0.76875,0.47554,1.45435,1.17844,1.52036,0.000412749,0.000412749,0.000412749
78,3868.4,0.72168,0.55702,1.00518,0.96147,0.72973,0.77344,0.47194,1.42744,1.14849,1.51914,0.000396246,0.000396246,0.000396246
79,3918.81,0.65849,0.52538,0.97615,0.96202,0.72973,0.78177,0.49572,1.37433,1.11376,1.49272,0.000379743,0.000379743,0.000379743
80,3969.47,0.66655,0.55456,1.00135,0.90304,0.75521,0.78865,0.51194,1.36667,1.11113,1.4663,0.000363239,0.000363239,0.000363239
81,4019.77,0.71409,0.58381,1.01281,0.90232,0.74919,0.79145,0.51774,1.37568,1.15358,1.45388,0.000346736,0.000346736,0.000346736
82,4070.76,0.6469,0.53189,0.97141,0.93045,0.72973,0.78644,0.50762,1.35557,1.18704,1.42756,0.000330233,0.000330233,0.000330233
83,4121.69,0.61682,0.51907,0.94426,0.86544,0.72973,0.76792,0.50349,1.32731,1.22089,1.40472,0.000313729,0.000313729,0.000313729
84,4172.16,0.65297,0.51989,0.95981,0.90301,0.75494,0.75622,0.50126,1.2944,1.22707,1.40079,0.000297226,0.000297226,0.000297226
85,4223.71,0.67522,0.55966,0.99579,0.90304,0.75523,0.75976,0.51055,1.30628,1.20268,1.415,0.000280723,0.000280723,0.000280723
86,4272.35,0.66268,0.5569,1.00204,0.90301,0.75492,0.75633,0.49599,1.31989,1.20091,1.428,0.00026422,0.00026422,0.00026422
87,4321.69,0.60699,0.48827,0.96718,0.93326,0.75584,0.75981,0.49167,1.34481,1.17893,1.44676,0.000247716,0.000247716,0.000247716
88,4370.61,0.63366,0.5039,0.95662,0.93312,0.75423,0.76967,0.50258,1.36191,1.12552,1.46178,0.000231213,0.000231213,0.000231213
89,4420.13,0.65202,0.49533,1.00017,0.93313,0.75434,0.77928,0.51564,1.34476,1.10595,1.44508,0.00021471,0.00021471,0.00021471
90,4469.71,0.63333,0.49382,0.97921,0.8971,0.75676,0.79617,0.52082,1.33536,1.10223,1.44099,0.000198206,0.000198206,0.000198206
91,4519.07,0.52785,0.48322,0.86843,0.9331,0.75407,0.78985,0.51929,1.33045,1.12531,1.44963,0.000181703,0.000181703,0.000181703
92,4567.43,0.59465,0.49253,0.94059,0.93106,0.75676,0.77865,0.50906,1.3417,1.14855,1.46912,0.0001652,0.0001652,0.0001652
93,4615.81,0.50575,0.42574,0.8558,0.96056,0.75676,0.77813,0.50166,1.33703,1.16591,1.46747,0.000148696,0.000148696,0.000148696
94,4666.02,0.51489,0.43194,0.8858,0.96367,0.75676,0.77764,0.5047,1.31926,1.18005,1.45954,0.000132193,0.000132193,0.000132193
95,4714.38,0.50026,0.4467,0.88126,0.93242,0.75676,0.77577,0.50209,1.28892,1.20093,1.43943,0.00011569,0.00011569,0.00011569
96,4763.14,0.48973,0.41694,0.86938,0.98171,0.7027,0.77494,0.50904,1.28561,1.17844,1.41755,9.91865e-05,9.91865e-05,9.91865e-05
97,4813.61,0.50027,0.42303,0.88176,0.98698,0.7027,0.7748,0.50865,1.28607,1.15738,1.41029,8.26832e-05,8.26832e-05,8.26832e-05
98,4866.21,0.49163,0.41929,0.8834,0.96404,0.72474,0.77955,0.50946,1.289,1.12076,1.40146,6.61799e-05,6.61799e-05,6.61799e-05
99,4917.83,0.4665,0.40017,0.86471,0.96419,0.72779,0.77595,0.50964,1.28389,1.10761,1.40101,4.96766e-05,4.96766e-05,4.96766e-05
100,4968.03,0.48217,0.39705,0.87661,0.99035,0.7027,0.77822,0.50738,1.28586,1.10505,1.40518,3.31733e-05,3.31733e-05,3.31733e-05
