epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.0832,1.55343,3.45924,1.50284,0.00952,1,0.56985,0.34813,1.17749,3.21561,1.17072,0.00013336,0.00013336,0.00013336
2,92.5518,1.40911,2.72207,1.34473,0.0085,1,0.82105,0.5363,1.08428,3.01814,1.16194,0.00028152,0.00028152,0.00028152
3,138.357,1.32958,2.15325,1.31828,0.36967,0.86486,0.77667,0.4699,1.10925,2.79904,1.19854,0.000427699,0.000427699,0.000427699
4,184.662,1.32546,1.86922,1.35204,1,0.39442,0.69296,0.43564,1.29202,2.59302,1.32201,0.000571898,0.000571898,0.000571898
5,230.841,1.39089,1.95624,1.42597,0.96261,0.2973,0.58444,0.35782,1.26641,2.65223,1.33044,0.000714116,0.000714116,0.000714116
6,276.242,1.38749,1.81803,1.39693,0.83101,0.39901,0.65378,0.35708,1.3979,2.58409,1.44015,0.000854354,0.000854354,0.000854354
7,322.508,1.27773,1.78239,1.29634,0.78361,0.43243,0.71498,0.42461,1.4103,2.53803,1.493,0.000992612,0.000992612,0.000992612
8,368.274,1.20121,1.75182,1.28913,0.85264,0.43243,0.69139,0.35594,1.54301,2.56327,1.54331,0.00112889,0.00112889,0.00112889
9,414.258,1.3427,1.74009,1.33482,0.6606,0.57885,0.66777,0.31585,1.53985,2.5226,1.49317,0.00126319,0.00126319,0.00126319
10,461.529,1.31795,1.69157,1.36964,0.59412,0.56757,0.66491,0.35118,1.37297,2.279,1.53284,0.0013955,0.0013955,0.0013955
11,508.06,1.34109,1.58091,1.37638,0.69534,0.67568,0.69634,0.39142,1.44191,2.18941,1.55427,0.00152584,0.00152584,0.00152584
12,554.362,1.24286,1.60627,1.32485,0.61212,0.55468,0.62212,0.2478,1.76662,2.39892,1.79264,0.00154598,0.00154598,0.00154598
13,601.004,1.41181,1.67574,1.4195,0.72305,0.56458,0.61638,0.26525,1.82007,2.38489,2.00881,0.00153497,0.00153497,0.00153497
14,647.597,1.48161,1.75732,1.45836,0.6658,0.54054,0.64282,0.31762,1.66976,1.97651,1.73534,0.00152397,0.00152397,0.00152397
15,694.076,1.33209,1.51505,1.35032,0.78206,0.67899,0.75698,0.36163,1.65675,1.91841,1.79293,0.00151297,0.00151297,0.00151297
16,740.799,1.33796,1.5515,1.34066,0.61645,0.72973,0.72655,0.35231,1.56812,1.99337,1.52984,0.00150197,0.00150197,0.00150197
17,787.409,1.28381,1.3743,1.28607,0.81136,0.81377,0.83296,0.45715,1.48727,1.79745,1.48812,0.00149096,0.00149096,0.00149096
18,834.938,1.20987,1.33464,1.26416,0.66558,0.72973,0.75371,0.39766,1.6647,1.85942,1.68573,0.00147996,0.00147996,0.00147996
19,881.853,1.28088,1.4017,1.34569,0.75545,0.7027,0.79116,0.39954,1.63834,1.82096,1.77722,0.00146896,0.00146896,0.00146896
20,928.321,1.36283,1.35752,1.36667,0.82265,0.7027,0.82509,0.50794,1.36363,1.38527,1.39725,0.00145796,0.00145796,0.00145796
21,974.889,1.30296,1.36065,1.33397,0.73544,0.7027,0.7783,0.44458,1.51065,1.50533,1.44567,0.00144696,0.00144696,0.00144696
22,1023.75,1.34042,1.33497,1.32062,0.59474,0.7141,0.64597,0.35962,1.67732,1.72128,1.56463,0.00143595,0.00143595,0.00143595
23,1071.91,1.25977,1.27524,1.34534,0.80293,0.7027,0.77063,0.43034,1.63988,1.53943,1.56784,0.00142495,0.00142495,0.00142495
24,1119.32,1.23345,1.24865,1.27214,0.70984,0.7027,0.70021,0.39653,1.58322,1.57896,1.45888,0.00141395,0.00141395,0.00141395
25,1167.48,1.16614,1.18806,1.25078,0.6483,0.67568,0.66666,0.38601,1.5522,1.54591,1.42315,0.00140295,0.00140295,0.00140295
26,1214.92,1.20346,1.13954,1.27128,0.77164,0.63947,0.6724,0.3748,1.5478,1.61959,1.42538,0.00139195,0.00139195,0.00139195
27,1262.78,1.2048,1.16988,1.27567,0.69594,0.55696,0.61782,0.31143,1.69407,1.75586,1.57436,0.00138094,0.00138094,0.00138094
28,1310.55,1.17542,1.09547,1.23357,0.79241,0.56757,0.67375,0.38612,1.52999,1.55643,1.43989,0.00136994,0.00136994,0.00136994
