epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,13672,1.18072,0.99173,1.38294,0.79217,0.67568,0.65855,0.39097,1.64157,1.48983,1.96379,0.0011882,0.0011882,0.0011882
43,13990.2,1.0559,0.86662,1.3334,0.77919,0.67568,0.71847,0.39795,1.60796,1.48634,2.00274,0.0011684,0.0011684,0.0011684
44,14314.6,1.05206,0.86997,1.31392,0.85401,0.64865,0.76988,0.42871,1.51631,1.27099,1.85646,0.0011486,0.0011486,0.0011486
45,14647.3,1.10856,0.82865,1.37304,0.87232,0.72973,0.848,0.5204,1.36922,1.07408,1.72804,0.0011288,0.0011288,0.0011288
46,14920.2,1.07276,0.8093,1.29775,0.88987,0.72973,0.84582,0.54278,1.26725,1.13495,1.55431,0.001109,0.001109,0.001109
47,15197.6,1.09345,0.83289,1.3481,0.82627,0.77143,0.82942,0.53064,1.24732,1.14987,1.56678,0.0010892,0.0010892,0.0010892
48,15506.2,1.0287,0.81596,1.27738,0.89181,0.66854,0.79869,0.52352,1.31688,1.10456,1.73135,0.0010694,0.0010694,0.0010694
49,15765.6,0.98112,0.75563,1.26559,0.899,0.75676,0.835,0.53489,1.37151,1.05937,1.76418,0.0010496,0.0010496,0.0010496
50,16032.1,0.96437,0.8365,1.28034,0.9809,0.7027,0.80269,0.52841,1.3744,1.1685,1.72721,0.0010298,0.0010298,0.0010298
51,16279.5,0.94527,0.68559,1.25357,0.89777,0.7027,0.78651,0.49704,1.45216,1.29453,1.80643,0.00101,0.00101,0.00101
52,16531.6,0.90938,0.69878,1.21838,0.87121,0.75676,0.83318,0.52317,1.2826,1.02327,1.60314,0.0009902,0.0009902,0.0009902
53,16829.7,0.97659,0.73414,1.28807,0.92877,0.72973,0.79514,0.49146,1.33358,1.09268,1.67912,0.0009704,0.0009704,0.0009704
54,17093.5,0.94294,0.74242,1.27296,0.87448,0.75325,0.8202,0.50952,1.4241,1.17897,1.75392,0.0009506,0.0009506,0.0009506
55,17399.6,0.8834,0.67418,1.21215,0.83958,0.75676,0.82064,0.52259,1.34556,1.19784,1.72759,0.0009308,0.0009308,0.0009308
56,17702.1,0.92333,0.69676,1.23071,0.89392,0.72973,0.80403,0.47282,1.39082,1.12196,1.73481,0.000911,0.000911,0.000911
57,17994.3,0.98601,0.67311,1.24603,0.84292,0.72973,0.80733,0.4514,1.53677,1.14869,1.88119,0.0008912,0.0008912,0.0008912
58,18297.7,0.93175,0.66203,1.23544,0.93323,0.75553,0.81951,0.50201,1.45727,1.12727,1.72094,0.0008714,0.0008714,0.0008714
59,18606.7,0.91128,0.65394,1.19392,0.96351,0.71386,0.81806,0.49367,1.41223,1.16998,1.6962,0.0008516,0.0008516,0.0008516
60,18912.6,0.842,0.62356,1.14708,0.83692,0.7027,0.80156,0.4578,1.55488,1.12371,1.8755,0.0008318,0.0008318,0.0008318
61,19198.9,0.91546,0.64632,1.22205,0.92838,0.7027,0.80826,0.46524,1.52236,1.20512,1.80702,0.000812,0.000812,0.000812
62,19501.9,0.87227,0.63181,1.19848,0.85255,0.72973,0.81672,0.47109,1.54297,1.17448,1.86989,0.0007922,0.0007922,0.0007922
63,19782.7,0.87104,0.6682,1.18744,0.78791,0.75676,0.78432,0.45657,1.51169,1.13613,1.7939,0.0007724,0.0007724,0.0007724
64,20080.2,0.83911,0.64598,1.18088,0.80697,0.7027,0.78088,0.45984,1.45847,1.15799,1.74487,0.0007526,0.0007526,0.0007526
65,20367.8,0.79758,0.59244,1.15632,0.83077,0.67568,0.77818,0.45638,1.45707,1.13478,1.77607,0.0007328,0.0007328,0.0007328
66,20726.7,0.78942,0.64041,1.14386,0.89588,0.6978,0.76235,0.45587,1.50055,1.22417,1.79293,0.000713,0.000713,0.000713
67,21090.6,0.85922,0.62081,1.17608,0.92834,0.70037,0.78228,0.48411,1.56254,1.36286,1.87887,0.0006932,0.0006932,0.0006932
68,21487.2,0.82379,0.6067,1.14872,0.92401,0.72973,0.78787,0.46896,1.4835,1.22622,1.93335,0.0006734,0.0006734,0.0006734
69,21809,0.78422,0.57035,1.14131,0.93069,0.72598,0.78947,0.47521,1.45149,1.2318,1.84652,0.0006536,0.0006536,0.0006536
70,22201.8,0.81466,0.57372,1.17339,0.89189,0.66906,0.79016,0.44177,1.52637,1.31552,1.91951,0.0006338,0.0006338,0.0006338
71,22514.9,0.79275,0.5503,1.17356,0.94923,0.64865,0.79949,0.46448,1.5246,1.34896,1.93222,0.000614,0.000614,0.000614
